Time:1,End Time,f001,Event Id,Event Date,Event Duration
113.4960,113.7960,2,,,
113.7290,114.0290,1,,,
113.9960,114.2960,2,,,
114.2800,114.5800,1,,,
114.4970,114.7970,1,,,
114.7630,115.0630,2,,,
115.0300,115.3300,2,,,
115.2640,115.5640,2,,,
115.5310,115.8310,2,,,
115.7980,116.0980,2,,,
116.0310,116.3310,1,,,
116.2980,116.5980,1,,,
116.5320,116.8320,1,,,
116.7980,117.0980,2,,,
117.0650,117.3650,1,,,
117.3160,117.6160,2,,,
117.5660,117.8660,2,,,
117.8330,118.1330,2,,,
118.0660,118.3660,1,,,
118.3330,118.6330,1,,,
118.5670,118.8670,2,,,
118.8170,119.1170,2,,,
119.0670,119.3670,2,,,
119.3170,119.6170,2,,,
119.5670,119.8670,2,,,
119.8340,120.1340,2,,,
120.0680,120.3680,2,,,
120.3350,120.6350,1,,,
120.5680,120.8680,1,,,
120.8350,121.1350,1,,,
121.0690,121.3690,2,,,
121.3350,121.6350,1,,,
121.6020,121.9020,2,,,
121.8360,122.1360,1,,,
122.1030,122.4030,1,,,
122.3700,122.6700,2,,,
122.6030,122.9030,2,,,
122.8370,123.1370,1,,,
123.1040,123.4040,1,,,
123.3700,123.6700,1,,,
123.6040,123.9040,1,,,
131.9110,132.2110,1,,,
132.1770,132.4770,1,,,
132.4110,132.7110,2,,,
132.6780,132.9780,1,,,
132.9110,133.2110,2,,,
133.1950,133.4950,2,,,
133.4450,133.7450,1,,,
133.6790,133.9790,1,,,
133.9120,134.2120,2,,,
134.1960,134.4960,1,,,
134.4460,134.7460,2,,,
134.6790,134.9790,2,,,
134.9460,135.2460,1,,,
135.1800,135.4800,2,,,
135.4630,135.7630,2,,,
135.6970,135.9970,1,,,
135.9470,136.2470,1,,,
136.1810,136.4810,2,,,
136.4480,136.7480,2,,,
136.7140,137.0140,1,,,
136.9480,137.2480,2,,,
137.2150,137.5150,2,,,
137.4480,137.7480,2,,,
137.7150,138.0150,1,,,
137.9820,138.2820,2,,,
138.2160,138.5160,1,,,
138.4490,138.7490,1,,,
138.7330,139.0330,2,,,
138.9830,139.2830,1,,,
139.2170,139.5170,2,,,
139.4830,139.7830,1,,,
139.7500,140.0500,2,,,
139.9840,140.2840,1,,,
140.2170,140.5170,2,,,
140.4840,140.7840,2,,,
140.7340,141.0340,2,,,
141.0010,141.3010,2,,,
141.2510,141.5510,2,,,
141.5180,141.8180,1,,,
141.7850,142.0850,1,,,
142.0190,142.3190,2,,,
142.2860,142.5860,1,,,
142.5190,142.8190,1,,,
142.7860,143.0860,1,,,
143.0530,143.3530,2,,,
143.2860,143.5860,1,,,
143.5200,143.8200,2,,,
143.7870,144.0870,2,,,
144.0540,144.3540,1,,,
144.2870,144.5870,2,,,
144.5540,144.8540,1,,,
144.8040,145.1040,2,,,
145.0550,145.3550,1,,,
145.2880,145.5880,1,,,
145.5550,145.8550,2,,,
145.7880,146.0880,1,,,
146.0550,146.3550,1,,,
146.3220,146.6220,2,,,
146.5560,146.8560,2,,,
146.8230,147.1230,2,,,
147.0560,147.3560,2,,,
147.3230,147.6230,2,,,
147.5900,147.8900,1,,,
147.8400,148.1400,1,,,
148.0900,148.3900,2,,,
148.3400,148.6400,1,,,
148.5570,148.8570,2,,,
148.8240,149.1240,1,,,
157.1310,157.4310,2,,,
157.3980,157.6980,2,,,
157.6650,157.9650,2,,,
157.8980,158.1980,1,,,
158.1650,158.4650,1,,,
158.4320,158.7320,2,,,
158.6650,158.9650,1,,,
158.9320,159.2320,2,,,
159.1990,159.4990,1,,,
159.4660,159.7660,1,,,
159.7000,160.0000,2,,,
159.9660,160.2660,1,,,
160.2000,160.5000,2,,,
160.4670,160.7670,1,,,
160.7340,161.0340,1,,,
160.9670,161.2670,1,,,
161.2340,161.5340,2,,,
161.5010,161.8010,1,,,
161.7350,162.0350,2,,,
162.0010,162.3010,1,,,
162.2350,162.5350,1,,,
162.5020,162.8020,2,,,
162.7850,163.0850,2,,,
163.0360,163.3360,2,,,
163.2860,163.5860,1,,,
163.5360,163.8360,2,,,
163.7700,164.0700,2,,,
164.0360,164.3360,2,,,
164.2700,164.5700,1,,,
164.5370,164.8370,2,,,
164.8040,165.1040,2,,,
165.0370,165.3370,1,,,
165.3040,165.6040,2,,,
165.5710,165.8710,1,,,
165.8050,166.1050,1,,,
166.0710,166.3710,1,,,
166.3380,166.6380,2,,,
166.5720,166.8720,2,,,
166.8550,167.1550,2,,,
167.0720,167.3720,1,,,
167.3060,167.6060,2,,,
167.5730,167.8730,2,,,
167.8400,168.1400,1,,,
168.1060,168.4060,2,,,
168.3570,168.6570,1,,,
168.5900,168.8900,2,,,
168.8570,169.1570,1,,,
169.1070,169.4070,2,,,
169.3570,169.6570,1,,,
169.6080,169.9080,2,,,
169.8410,170.1410,1,,,
170.1080,170.4080,1,,,
170.3750,170.6750,1,,,
170.6090,170.9090,2,,,
170.8750,171.1750,2,,,
171.1090,171.4090,2,,,
171.3760,171.6760,1,,,
171.6430,171.9430,1,,,
171.8760,172.1760,1,,,
172.1430,172.4430,1,,,
172.3770,172.6770,1,,,
172.6440,172.9440,2,,,
172.9100,173.2100,2,,,
173.1600,173.4600,2,,,
173.4110,173.7110,1,,,
173.6780,173.9780,2,,,
173.9280,174.2280,2,,,
174.1950,174.4950,2,,,
184.3050,184.6050,2,,,
184.5720,184.8720,1,,,
184.8390,185.1390,1,,,
185.1060,185.4060,2,,,
185.3730,185.6730,1,,,
185.6060,185.9060,1,,,
185.8730,186.1730,2,,,
186.1400,186.4400,2,,,
186.3900,186.6900,2,,,
186.6070,186.9070,1,,,
186.8410,187.1410,1,,,
187.1080,187.4080,1,,,
187.3750,187.6750,1,,,
187.6080,187.9080,1,,,
187.8750,188.1750,1,,,
188.1420,188.4420,1,,,
188.3760,188.6760,2,,,
188.6420,188.9420,2,,,
188.8760,189.1760,2,,,
189.1430,189.4430,2,,,
189.3760,189.6760,1,,,
189.6430,189.9430,1,,,
189.8770,190.1770,1,,,
190.1430,190.4430,2,,,
190.3770,190.6770,2,,,
190.6100,190.9100,2,,,
190.8770,191.1770,2,,,
191.1440,191.4440,1,,,
191.3940,191.6940,1,,,
191.6610,191.9610,2,,,
191.9110,192.2110,2,,,
192.1450,192.4450,2,,,
192.4120,192.7120,2,,,
192.6790,192.9790,2,,,
192.9120,193.2120,1,,,
193.1790,193.4790,1,,,
193.4130,193.7130,1,,,
193.6460,193.9460,1,,,
193.9130,194.2130,1,,,
194.1470,194.4470,2,,,
194.4140,194.7140,2,,,
194.6640,194.9640,2,,,
194.9140,195.2140,2,,,
195.1470,195.4470,2,,,
195.4310,195.7310,1,,,
195.6810,195.9810,1,,,
195.9150,196.2150,1,,,
196.1820,196.4820,1,,,
196.4480,196.7480,1,,,
196.6820,196.9820,2,,,
196.9660,197.2660,2,,,
197.2320,197.5320,2,,,
197.4830,197.7830,1,,,
197.7160,198.0160,2,,,
197.9830,198.2830,2,,,
198.2170,198.5170,2,,,
198.4830,198.7830,2,,,
198.7500,199.0500,2,,,
198.9840,199.2840,1,,,
199.2510,199.5510,1,,,
199.4840,199.7840,1,,,
199.7510,200.0510,1,,,
200.0010,200.3010,2,,,
